Sampling Method,Max Length,K Values,Time Taken,Text Generated,New Tokens
autoregressive,16,0,0.5620722770690918,"United States in the year 2025.

The report, which was released on Tuesday, said that the United",16
speculative,16,1,0.4595065116882324,"United States in the year 2025.

The report, which was released on Tuesday, said that the United",16
speculative,16,2,0.5239839553833008,"United States in the year 2025.

The report, said to report on the "" of the United States in the year",19
speculative,16,3,0.43303966522216797,"United States in the year 2025.

The report States is a comprehensivecompreed by the U Academy of Sciences, the",20
speculative,16,4,0.39987802505493164,"United States in the year 2025.

The report, said that the United States is need of spending its military budget the next decade",21
speculative,16,5,0.3692820072174072,"United States in the year 2025.

The report, said that the United States is need the world's most and, but",20
speculative,16,7,0.32944369316101074,"United States in the year 2025.

The report States is a comprehensivecom step"" the development of a comprehensive plan to address the challenges",22
speculative,16,8,0.3716695308685303,"United States in the year 2025.

The report States is the first of examine on the potential of climate change to affect the U economy.
",24
autoregressive,64,0,2.316352128982544,"United States in the year 2025.

The report, which was released on Tuesday, said that the United States would need to increase its renewable energy capacity by more than 50 percent by 2030 to meet the goal.

The report also said that the United States would need to increase its renewable energy capacity by more than 50 percent by 2030 to meet",64
speculative,64,1,1.7934670448303223,"United States in the year 2025.

The report, which was released on Tuesday, said that the United States would need to increase its renewable energy capacity by more than 50 percent by 2030 to meet the goal.

The report also said that the United States would need to increase its renewable energy capacity by more than 50 percent by 2030 to meet the",65
speculative,64,2,1.5981483459472656,"United States in the year 2025.

The report, said to report on the "" of the United States in the year 2025.
 report, said to report on the "" future of the United States in the year 2025.

The report, said to report on the "" future of the United States in the year 2025.

The report,",66
speculative,64,3,1.5467424392700195,"United States in the year 2025.

The report States is a comprehensivecompreed by the U Academy of Sciences, the National Academy of Sciences, the National Academy of Engineering, the National Academy of Sciences, the National Academy of Medicine, the Institute Research Council the Advancement of Science and Technology, the National Academy of Engineering, the National Academy of Sciences, the",68
speculative,64,4,1.4360859394073486,"United States in the year 2025.

The report, said that the United States is need of spending its military budget the next decade on maintain its military superiority and

to its capabilities to deter the and

to the.

The report said that the United States is need to maintain its military superiority and to its capabilities to deter the and to the.

The report said that",74
speculative,64,5,1.29445219039917,"United States in the year 2025.

The report, said that the United States is need the world's most and, but, the, the most,, in the world's

The report, that the United States is need the world's most and, but, the, the most in, the world's
's

 report, that the United States is need the world",73
speculative,64,7,1.1808037757873535,"United States in the year 2025.

The report States is a comprehensivecom step"" the development of a comprehensive plan to address the challenges of climate 21st century.

The report states that the United States will already world's largest producer gas, 2025,

The report states that the United States will already world's largest producer gas, 2025,

The report states that the United States",75
speculative,64,8,1.120337724685669,"United States in the year 2025.

The report States is the first of examine on the potential of climate change to affect the U economy.

The report states that the U.S. economy is already to experience by 3.5% to in the year 1023.

The report states that the U.S. economy is already to experience by 3.5% to in the",75
